first,target,count
2257,1000,6
2257,1001,6
2257,1002,7
2257,1003,6
2257,1004,6
2257,1005,8
2257,1006,8
2257,1007,7
2257,1000,5
2257,1001,5
2257,1002,6
2257,1003,5
2257,1004,5
2257,1005,6
2257,1006,6
2257,1007,6
2257,1008,6
2257,1009,5
2257,1010,6
2257,1011,5
2257,1012,6
2257,1013,5
2257,1014,5
2257,1015,6
2257,1016,6
2257,1017,6
2257,1018,5
2257,1019,5
2257,1020,6
2257,1021,6
2257,1022,5
2257,1023,4
2257,1024,5
2257,1025,4
2257,1026,6
2257,1027,4
2257,1028,6
2257,1029,6
2257,1030,6
2257,1031,6
2257,1032,4
2257,1033,5
2257,1034,2
2257,1035,5
2257,1036,4
2257,1037,4
2257,1038,6
2257,1039,6
2257,1040,6
2257,1041,5
2257,1042,5
2257,1043,5
2257,1044,6
2257,1045,5
2257,1046,5
2257,1047,5
2257,1048,5
2257,1049,6
2257,1050,6
2257,1051,5
2257,1052,5
2257,1053,5
2257,1054,4
2257,1055,6
2257,1056,6
2257,1057,4
2257,1058,5
2257,1059,6
2257,1060,6
2257,1061,5
2257,1062,5
2257,1063,4
2257,1064,5
2257,1065,5
2257,1066,6
2257,1067,6
2257,1068,4
2257,1069,6
2257,1070,6
2257,1071,5
2257,1072,5
2257,1073,5
2257,1074,4
2257,1075,5
2257,1076,6
2257,1077,6
2257,1078,7
2257,1079,7
2257,1080,6
2257,1081,6
2257,1082,7
2257,1083,5
2257,1084,5
2257,1085,5
2257,1086,6
2257,1087,6
2257,1088,6
2257,1089,6
2257,1090,6
2257,1091,6
2257,1092,7
2257,1093,6
2257,1094,6
2257,1095,6
2257,1096,6
2257,1097,6
2257,1098,6
2257,1099,6
2257,1100,6
2257,1101,6
2257,1102,7
2257,1103,6
2257,1104,6
2257,1105,6
2257,1106,6
2257,1107,6
2257,1108,5
2257,1109,6
2257,1110,7
2257,1111,6
2257,1112,6
2257,1113,5
2257,1114,5
2257,1115,6
2257,1116,6
2257,1117,6
2257,1118,5
2257,1119,6
2257,1120,6
2257,1121,7
2257,1122,6
2257,1123,7
2257,1124,6
2257,1125,5
2257,1126,7
2257,1127,6
2257,1128,5
2257,1129,7
2257,1130,5
2257,1131,6
2257,1132,6
2257,1133,5
2257,1134,6
2257,1135,6
2257,1136,6
2257,1137,6
2257,1138,6
2257,1139,5
2257,1140,7
2257,1141,6
2257,1142,7
2257,1143,6
2257,1144,5
2257,1145,6
2257,1146,6
