first,target,count
2257,1000,5
2257,1001,5
2257,1002,6
2257,1003,5
2257,1004,5
2257,1005,6
2257,1006,6
2257,1007,6
2257,1008,6
2257,1009,5
2257,1010,6
2257,1011,5
2257,1012,6
2257,1013,5
2257,1014,5
2257,1015,6
2257,1016,6
2257,1017,6
2257,1018,5
2257,1019,5
2257,1020,6
2257,1021,6
2257,1022,5
2257,1023,4
2257,1024,5
2257,1025,4
2257,1026,6
2257,1027,4
2257,1028,6
2257,1029,6
2257,1030,6
2257,1031,6
2257,1032,4
2257,1033,5
2257,1034,2
2257,1035,5
2257,1036,4
2257,1037,4
2257,1038,6
2257,1039,6
2257,1040,6
2257,1041,5
2257,1042,5
2257,1043,5
2257,1044,6
2257,1045,5
2257,1046,5
2257,1047,5
2257,1048,5
2257,1049,6
2257,1050,6
2257,1051,5
2257,1052,5
2257,1053,5
2257,1054,4
2257,1055,6
2257,1056,6
2257,1057,4
2257,1058,5
2257,1059,6
2257,1060,6
2257,1061,5
2257,1062,5
2257,1063,4
2257,1064,5
2257,1065,5
2257,1066,6
2257,1067,6
2257,1068,4
2257,1069,6
2257,1070,6
2257,1071,5
2257,1072,5
2257,1073,5
2257,1074,4
2257,1075,5
2257,1076,6
2257,1077,6
2257,1078,7
2257,1079,7
2257,1080,6
2257,1081,6
2257,1082,7
2257,1083,5
2257,1084,5
2257,1085,5
2257,1086,6
2257,1087,6
2257,1088,6
2257,1089,6
2257,1090,6
2257,1091,6
2257,1092,7
2257,1093,6
2257,1094,6
2257,1095,6
2257,1096,6
2257,1097,6
2257,1098,6
2257,1099,6
2257,1100,6
2257,1101,6
2257,1102,7
2257,1103,6
2257,1104,6
2257,1105,6
2257,1106,6
2257,1107,6
2257,1108,5
2257,1109,6
2257,1110,7
2257,1111,6
2257,1112,6
2257,1113,5
2257,1114,5
2257,1115,6
2257,1116,6
2257,1117,6
2257,1118,5
2257,1119,6
2257,1120,6
2257,1121,7
2257,1122,6
2257,1123,7
2257,1124,6
2257,1125,5
2257,1126,7
2257,1127,6
2257,1128,5
2257,1129,7
2257,1130,5
2257,1131,6
2257,1132,6
2257,1133,5
2257,1134,6
2257,1135,6
2257,1136,6
2257,1137,6
2257,1138,6
2257,1139,5
2257,1140,7
2257,1141,6
2257,1142,7
2257,1143,6
2257,1144,5
2257,1145,6
2257,1146,6
2257,1147,6
2257,1148,6
2257,1149,5
2257,1150,6
2257,1151,6
2257,1152,5
2257,1153,5
2257,1154,6
2257,1155,6
2257,1156,6
2257,1157,5
2257,1158,5
2257,1159,6
2257,1160,6
2257,1161,6
2257,1162,5
2257,1163,6
2257,1164,6
2257,1165,6
2257,1166,6
2257,1167,6
2257,1168,4
2257,1169,5
2257,1170,7
2257,1171,7
2257,1172,5
2257,1173,7
2257,1174,5
2257,1175,6
2257,1176,6
2257,1177,6
2257,1178,6
2257,1179,7
2257,1180,6
2257,1181,6
2257,1182,6
2257,1183,6
2257,1184,6
2257,1185,7
2257,1186,5
2257,1187,6
2257,1188,5
2257,1189,6
2257,1190,6
2257,1191,6
2257,1192,7
2257,1193,5
2257,1194,5
2257,1195,7
2257,1196,5
2257,1197,6
2257,1198,6
2257,1199,6
2257,1200,6
2257,1201,6
2257,1202,5
2257,1203,4
2257,1204,5
2257,1205,5
2257,1206,4
2257,1207,5
2257,1208,4
2257,1209,5
2257,1210,6
2257,1211,6
2257,1212,6
2257,1213,6
2257,1214,6
2257,1215,6
2257,1216,6
2257,1217,6
2257,1218,6
2257,1219,6
2257,1220,5
2257,1221,5
2257,1222,6
2257,1223,4
2257,1224,5
2257,1225,5
2257,1226,5
2257,1227,5
2257,1228,6
2257,1229,6
2257,1230,5
2257,1231,6
2257,1232,5
2257,1233,5
2257,1234,4
2257,1235,5
2257,1236,4
2257,1237,4
2257,1238,5
2257,1239,6
2257,1240,5
2257,1241,6
2257,1242,6
2257,1243,3
2257,1244,6
2257,1245,5
2257,1246,5
2257,1247,5
2257,1248,5
2257,1249,6
2257,1250,5
2257,1251,6
2257,1252,5
2257,1253,5
2257,1254,4
2257,1255,5
2257,1256,6
2257,1257,4
2257,1258,6
2257,1259,6
2257,1260,5
2257,1261,6
2257,1262,6
2257,1263,5
2257,1264,5
2257,1265,6
2257,1266,6
2257,1267,5
2257,1268,5
2257,1269,6
2257,1270,5
2257,1271,6
2257,1272,4
2257,1273,5
2257,1274,4
2257,1275,5
2257,1276,6
2257,1277,6
2257,1278,6
2257,1279,6
2257,1280,5
2257,1281,6
2257,1282,6
2257,1283,5
2257,1284,5
2257,1285,6
2257,1286,6
2257,1287,6
2257,1288,6
2257,1289,6
2257,1290,5
2257,1291,6
2257,1292,6
2257,1293,6
2257,1294,6
2257,1295,6
2257,1296,6
2257,1297,6
2257,1298,6
2257,1299,6
2257,1300,6
2257,1301,6
2257,1302,6
2257,1303,5
2257,1304,4
2257,1305,4
2257,1306,4
2257,1307,5
2257,1308,6
2257,1309,6
2257,1310,6
2257,1311,6
2257,1312,7
2257,1313,6
2257,1314,5
2257,1315,6
2257,1316,6
2257,1317,7
2257,1318,6
2257,1319,6
2257,1320,5
2257,1321,7
2257,1322,5
2257,1323,7
2257,1324,5
2257,1325,6
2257,1326,7
2257,1327,5
2257,1328,5
2257,1329,7
2257,1330,5
2257,1331,6
2257,1332,5
2257,1333,6
2257,1334,5
2257,1335,4
2257,1336,6
2257,1337,5
2257,1338,7
2257,1339,6
2257,1340,5
2257,1341,6
2257,1342,5
2257,1343,6
2257,1344,6
2257,1345,5
2257,1346,5
2257,1347,5
2257,1348,6
2257,1349,6
2257,1350,5
2257,1351,6
2257,1352,6
2257,1353,6
2257,1354,5
2257,1355,6
2257,1356,6
2257,1357,5
2257,1358,6
2257,1359,6
2257,1360,5
2257,1361,6
2257,1362,6
2257,1363,6
2257,1364,5
2257,1365,6
2257,1366,6
2257,1367,6
2257,1368,4
2257,1369,6
2257,1370,6
2257,1371,7
2257,1372,5
2257,1373,6
2257,1374,5
2257,1375,5
2257,1376,6
2257,1377,6
2257,1378,6
2257,1379,7
2257,1380,6
2257,1381,6
2257,1382,6
2257,1383,6
2257,1384,6
2257,1385,7
2257,1386,6
2257,1387,6
2257,1388,6
2257,1389,6
2257,1390,6
2257,1391,5
2257,1392,7
2257,1393,6
2257,1394,6
2257,1395,6
2257,1396,6
2257,1397,7
2257,1398,6
2257,1399,6
2257,1400,5
2257,1401,6
2257,1402,5
2257,1403,5
2257,1404,6
2257,1405,5
2257,1406,6
2257,1407,5
2257,1408,6
2257,1409,6
2257,1410,5
2257,1411,6
2257,1412,6
2257,1413,6
2257,1414,6
2257,1415,5
2257,1416,6
2257,1417,7
2257,1418,6
2257,1419,6
2257,1420,5
2257,1421,6
2257,1422,5
2257,1423,6
2257,1424,6
2257,1425,6
2257,1426,6
2257,1427,5
2257,1428,6
2257,1429,6
2257,1430,5
2257,1431,6
2257,1432,5
2257,1433,5
2257,1434,6
2257,1435,5
2257,1436,5
2257,1437,5
2257,1438,6
2257,1439,6
2257,1440,7
2257,1441,6
2257,1442,6
2257,1443,6
2257,1444,6
2257,1445,6
2257,1446,6
2257,1447,6
2257,1448,6
2257,1449,6
2257,1450,5
2257,1451,6
2257,1452,5
2257,1453,5
2257,1454,5
2257,1455,6
2257,1456,6
2257,1457,5
2257,1458,6
2257,1459,6
2257,1460,6
2257,1461,6
2257,1462,6
2257,1463,5
2257,1464,6
2257,1465,5
2257,1466,6
2257,1467,6
2257,1468,5
2257,1469,5
2257,1470,5
2257,1471,6
2257,1472,6
2257,1473,5
2257,1474,6
2257,1475,5
2257,1476,5
2257,1477,6
2257,1478,4
2257,1479,6
2257,1480,6
2257,1481,6
2257,1482,5
2257,1483,6
2257,1484,6
2257,1485,6
2257,1486,6
2257,1487,6
2257,1488,6
2257,1489,7
2257,1490,6
2257,1491,6
2257,1492,6
2257,1493,6
2257,1494,6
2257,1495,6
2257,1496,7
2257,1497,7
2257,1498,6
2257,1499,6
2257,1500,6
2257,1501,5
2257,1502,5
2257,1503,5
2257,1504,5
2257,1505,5
2257,1506,6
2257,1507,6
2257,1508,6
2257,1509,6
2257,1510,6
2257,1511,6
2257,1512,6
2257,1513,6
2257,1514,6
2257,1515,7
2257,1516,6
2257,1517,7
2257,1518,7
2257,1519,6
2257,1520,5
2257,1521,6
2257,1522,5
2257,1523,5
2257,1524,5
2257,1525,6
2257,1526,5
2257,1527,5
2257,1528,4
2257,1529,6
2257,1530,5
2257,1531,5
2257,1532,5
2257,1533,6
2257,1534,5
2257,1535,5
2257,1536,6
2257,1537,5
2257,1538,6
2257,1539,6
2257,1540,5
2257,1541,6
2257,1542,5
2257,1543,5
2257,1544,6
2257,1545,4
2257,1546,5
2257,1547,5
2257,1548,6
2257,1549,6
2257,1550,6
2257,1551,6
2257,1552,6
2257,1553,6
2257,1554,6
2257,1555,6
2257,1556,7
2257,1557,4
2257,1558,6
2257,1559,7
2257,1560,4
2257,1561,6
2257,1562,5
2257,1563,5
2257,1564,5
2257,1565,6
2257,1566,6
2257,1567,6
2257,1568,5
2257,1569,6
2257,1570,4
2257,1571,6
2257,1572,5
2257,1573,6
2257,1574,5
2257,1575,5
2257,1576,6
2257,1577,7
2257,1578,5
2257,1579,6
2257,1580,6
2257,1581,7
2257,1582,6
2257,1583,6
2257,1584,7
2257,1585,7
2257,1586,6
2257,1587,7
2257,1588,7
2257,1589,7
2257,1590,6
2257,1591,7
2257,1592,6
2257,1593,6
2257,1594,7
2257,1595,6
2257,1596,6
2257,1597,7
2257,1598,7
2257,1599,7
2257,1600,6
2257,1601,6
2257,1602,7
2257,1603,4
2257,1604,6
2257,1605,5
2257,1606,6
2257,1607,6
2257,1608,5
2257,1609,6
2257,1610,6
2257,1611,6
2257,1612,6
2257,1613,6
2257,1614,6
2257,1615,6
2257,1616,6
2257,1617,6
2257,1618,5
2257,1619,6
2257,1620,7
2257,1621,6
2257,1622,5
2257,1623,7
2257,1624,6
2257,1625,5
2257,1626,7
2257,1627,5
2257,1628,6
2257,1629,6
2257,1630,5
2257,1631,6
2257,1632,6
2257,1633,6
2257,1634,4
2257,1635,6
2257,1636,6
2257,1637,6
2257,1638,5
2257,1639,5
2257,1640,6
2257,1641,6
2257,1642,6
2257,1643,5
2257,1644,6
2257,1645,5
2257,1646,6
2257,1647,6
2257,1648,6
2257,1649,7
2257,1650,6
2257,1651,6
2257,1652,5
2257,1653,6
2257,1654,4
2257,1655,7
2257,1000,5
2257,1001,5
